"","choice","countries","sanctions"
"1","Not supported","80 of 192","15%"
"9","Not supported","160 of 192","15%"
"17","Not supported","160 of 192","None"
"25","Not supported","80 of 192","15%"
"33","Not supported","160 of 192","5%"
"41","Not supported","20 of 192","15%"
"49","Supported","160 of 192","5%"
"57","Not supported","80 of 192","20%"
"65","Supported","160 of 192","5%"
"73","Not supported","160 of 192","20%"
"81","Supported","80 of 192","15%"
"89","Supported","160 of 192","5%"
"97","Supported","160 of 192","20%"
"105","Supported","160 of 192","5%"
"113","Not supported","160 of 192","5%"
"121","Not supported","160 of 192","15%"
"129","Not supported","80 of 192","15%"
"137","Supported","20 of 192","5%"
"145","Supported","160 of 192","5%"
"153","Supported","160 of 192","5%"
"161","Supported","160 of 192","None"
"169","Supported","160 of 192","5%"
"177","Not supported","80 of 192","20%"
"185","Not supported","160 of 192","None"
"193","Not supported","80 of 192","5%"
"201","Supported","80 of 192","5%"
"209","Not supported","80 of 192","None"
"217","Supported","160 of 192","5%"
"225","Not supported","80 of 192","5%"
"233","Not supported","80 of 192","5%"
"241","Supported","80 of 192","5%"
"249","Not supported","80 of 192","15%"
"257","Supported","80 of 192","None"
"265","Supported","20 of 192","20%"
"273","Not supported","160 of 192","15%"
"281","Supported","80 of 192","None"
"289","Not supported","80 of 192","20%"
"297","Supported","160 of 192","20%"
"305","Not supported","80 of 192","None"
"313","Supported","20 of 192","None"
"321","Not supported","20 of 192","20%"
"329","Not supported","20 of 192","None"
"337","Supported","160 of 192","15%"
"345","Not supported","20 of 192","5%"
"353","Supported","160 of 192","20%"
"361","Not supported","20 of 192","None"
"369","Not supported","80 of 192","None"
"377","Supported","80 of 192","20%"
"385","Not supported","160 of 192","5%"
"393","Not supported","20 of 192","None"
"401","Supported","160 of 192","20%"
"409","Supported","80 of 192","20%"
"417","Not supported","160 of 192","None"
"425","Supported","80 of 192","20%"
"433","Not supported","20 of 192","20%"
"441","Not supported","160 of 192","5%"
"449","Not supported","160 of 192","5%"
"457","Supported","20 of 192","5%"
"465","Not supported","160 of 192","5%"
"473","Not supported","20 of 192","15%"
"481","Supported","20 of 192","None"
"489","Supported","160 of 192","5%"
"497","Not supported","80 of 192","20%"
"505","Not supported","20 of 192","5%"
"513","Supported","160 of 192","20%"
"521","Not supported","20 of 192","20%"
"529","Not supported","160 of 192","15%"
"537","Supported","20 of 192","5%"
"545","Supported","80 of 192","15%"
"553","Not supported","160 of 192","15%"
"561","Supported","160 of 192","5%"
"569","Not supported","160 of 192","5%"
"577","Not supported","160 of 192","20%"
"585","Supported","20 of 192","15%"
"593","Supported","80 of 192","20%"
"601","Not supported","80 of 192","20%"
"609","Not supported","160 of 192","15%"
"617","Not supported","80 of 192","15%"
"625","Supported","160 of 192","None"
"633","Supported","80 of 192","5%"
"641","Supported","160 of 192","20%"
"649","Supported","20 of 192","15%"
"657","Supported","20 of 192","15%"
"665","Not supported","80 of 192","20%"
"673","Supported","80 of 192","None"
"681","Supported","160 of 192","None"
"689","Not supported","80 of 192","None"
"697","Not supported","80 of 192","5%"
"705","Not supported","80 of 192","20%"
"713","Not supported","20 of 192","20%"
"721","Supported","80 of 192","5%"
"729","Not supported","20 of 192","None"
"737","Supported","20 of 192","20%"
"745","Supported","20 of 192","None"
"753","Not supported","80 of 192","15%"
"761","Supported","20 of 192","5%"
"769","Supported","20 of 192","5%"
"777","Not supported","160 of 192","20%"
"785","Not supported","20 of 192","20%"
"793","Not supported","160 of 192","20%"
"801","Supported","80 of 192","20%"
"809","Supported","80 of 192","5%"
"817","Not supported","20 of 192","None"
"825","Supported","80 of 192","None"
